id,name,parent_id
1,奔驰,0
2,宝马,0
3,奥迪,0
4,捷豹,0
5,路虎,0
6,保时捷,0
7,沃尔沃,0
8,玛莎拉蒂,0
9,雷克萨斯,0
10,英菲尼迪,0
11,丰田,0
12,尼桑,0
13,现代,0
14,大众,0
15,本田,0
16,福特,0
17,马自达,0
18,A Class,1
19,A45,1
20,B Class,1
21,C Class,1
22,C63,1
23,CLA,1
24,CLS,1
25,CLS 63,1
26,E Class,1
27,E63,1
28,S Class,1
29,S63,1
30,SL,1
31,SLC,1
32,GLA,1
33,GLC,1
34,GLE,1
35,GLS,1
36,G Wagon,1
37,AMG GT,1
38,Vans,1
39,1系,2
40,2系,2
41,3系,2
42,4系,2
43,5系,2
44,6系,2
45,7系,2
46,8系,2
47,i3,2
48,i8,2
49,M2,2
50,M3,2
51,M4,2
52,M5,2
53,M6,2
54,X1,2
55,X2,2
56,X3,2
57,X4,2
58,X5,2
59,X6,2
60,A1/S1,3
61,A3/S3,3
62,A4/S4,3
63,A5/S5,3
64,A6/S6,3
65,A7/S7,3
66,A8/S8,3
67,Q2,3
68,Q3,3
69,Q5/SQ5,3
70,Q7/SQ7,3
71,Q8,3
72,RS Q3,3
73,RS4,3
74,RS5,3
75,RS6,3
76,RS7,3
77,R8,3
78,TT,3
79,TR RS,3
80,F Pace,4
81,E Pace,4
82,I PACE,4
83,F Type,4
84,XE,4
85,XF,4
86,XJ,4
87,发现,5
88,发现运动,5
89,揽胜极光,5
90,揽胜星脉,5
91,揽胜运动,5
92,718,6
93,911,6
94,帕纳梅拉,6
95,Macan,6
96,卡宴,6
97,E电动车,6
98,XC90,7
99,XC60,7
100,XC40,7
101,V90,7
102,V40,7
103,S90,7
104,Ghibli,8
105,Quattroporte|总裁,8
106,Levante SUV,8
107,GranCabrio,8
108,GranTurismo,8
109,CT,9
110,IS,9
111,ES,9
112,GS,9
113,LS,9
114,RC,9
115,LC,9
116,NX,9
117,RX,9
118,LX,9
119,RC F,9
120,GS F,9
121,Q30,10
122,Q50,10
123,Q60,10
124,Q70,10
125,QX30,10
126,QX70,10
127,QX80,10
128,86,11
129,Yaris,11
130,Corolla,11
131,Camry,11
132,Prius,11
133,C-HR,11
134,RAV4,11
135,Kluger,11
136,Fortuner,11
137,Prado,11
138,LandCruiser,11
139,HiLux,11
140,Tarago,11
141,HiAce,11
142,Coaster,11
143,370Z,12
144,GT-R,12
145,JUKE,12
146,QASHQAI |逍客,12
147,X-TRAIL |奇骏,12
148,Pathfinder,12
149,Patrol |途乐,12
150,Navara,12
151,LEAF电动车,12
152,Kona,13
153,Tucson,13
154,Santa Fe,13
155,Accent,13
156,i30,13
157,Elantra,13
158,Sonata,13
159,i40,13
160,iMAX,13
161,iLoad,13
162,IONIQ,13
163,Veloster,13
164,Polo,14
165,Golf,14
166,Passat,14
167,Arteon,14
168,Amarok,14
169,Tiguan,14
170,Touareg,14
171,Caddy,14
172,Caravelle,14
173,Multivan,14
174,Transporter,14
175,Crafter,14
176,JAZZ,15
177,CITY,15
178,ACCORD,15
179,CIVIC,15
180,TYPE R,15
181,HR-V,15
182,CR-V,15
183,ODYSSEY,15
184,NSX,15
185,Focus |福克斯,16
186,Mondeo |蒙迪欧,16
187,EcoSport |翼搏,16
188,Escape |翼虎,16
189,Endura,16
190,Everest |撼路者,16
191,Ranger,16
192,Focus RS,16
193,Mustang |野马,16
194,Transit 商用车,16
195,MAZDA2,17
196,MAZDA3,17
197,MAZDA6,17
198,CX-3,17
199,CX-5,17
200,CX-8,17
201,CX-9,17
202,MX-5,17
203,BT-50,17